"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
6.68142857142857,8.53483146067416,5.41785714285714,8.54333333333333,5.489375,3.29285714285714,6.33275862068966,8.86876404494382,5.86428571428571,8.17428571428571,5.76828125,4.88465753424657,7.80666666666667,8.89069767441861,5.79714285714286,8.49976190476191,6.4832,8.0946875,4.95960784313726,5.43539325842697,8.09215384615385,7.47736842105263,5.505,7.13746666666667,9.32438356164384,7.0355,6.68,9.9676404494382,8.1735,9.61555555555556,9.61454545454545,8.02,7.95155555555556,6.03928571428571,7.87322033898305,8.58666666666667,9.18307692307692,6.83018181818182,4.10347826086957,8.27,6.98,6.94622222222222,6.80027777777778,7.58540540540541,5.2715,6.66363636363636,4.83131578947368,9.16077777777778,5.85928571428571,4.53823529411765,7.48866666666667,6.69376811594203,6.10085714285714,8.27640625,7.95380952380952,7.58733333333333,8.48294117647059,8.16652777777778,10.5745555555556,7.72954545454546,11.0547777777778,11.4855555555556,11.2635714285714,11.33,12.068,5.6025
4.21511111111111,4.91123595505618,3.77654761904762,3.82844444444444,4.23214285714286,4.62522222222222,4.80077777777778,5.46977777777778,4.2047619047619,5.34566666666667,5.82233333333333,4.24609756097561,3.48188888888889,4.89944444444444,3.99224719101124,4.44602409638554,2.82071428571429,3.52696629213483,2.90711111111111,3.56022222222222,3.2276404494382,3.584,4.57404761904762,4.293,4.72464285714286,4.99433333333333,3.75444444444444,5.06455555555556,5.215,4.89101123595506,4.62629213483146,4.38678571428571,3.89188888888889,5.62797619047619,2.91265625,4.58177777777778,4.09933333333333,4.04606741573034,3.20690476190476,3.41027777777778,4.78677777777778,4.269,3.16477777777778,4.3425,2.77269230769231,3.15041666666667,3.60655555555556,3.36288888888889,3.41022222222222,3.08422222222222,3.99988888888889,4.70166666666667,4.9777380952381,5.21415730337079,5.21211111111111,5.235,6.59288888888889,6.091,6.57333333333333,6.11555555555555,7.40901098901099,7.10655555555556,7.56134831460674,8.83493975903614,9.00977777777778,8.03448979591837
4.98833333333333,3.82955056179775,3.10380952380952,4.01666666666667,3.81440476190476,3.7423595505618,4.36522222222222,4.06842696629213,4.24202380952381,4.13933333333333,4.21988888888889,4.45107142857143,3.93344444444444,3.01775280898876,2.59049382716049,2.85731707317073,1.99,2.67882352941176,1.80896551724138,2.258,2.87483146067416,2.48235294117647,3.22892857142857,4.07955056179775,3.8566265060241,4.449,4.53741573033708,2.828,4.95303370786517,4.7738202247191,5.19588888888889,4.47829268292683,3.54366666666667,2.88368421052632,3.20783333333333,3.34843373493976,2.398,4.62333333333333,5.52892857142857,6.40633333333333,5.19711111111111,2.76553846153846,2.52261363636364,3.38402985074627,2.76571428571429,2.71384615384615,3.27555555555556,2.82611111111111,3.24,3.07768115942029,3.49047058823529,3.57444444444444,3.7377380952381,4.07277777777778,4.03539325842697,5.893,5.35244444444445,4.52677777777778,6.455,4.39444444444444,6.73477777777778,6.98777777777778,6.49388888888889,8.56702380952381,8.45611111111111,7.41416666666667
5.80022727272727,6.30292134831461,3.61083333333333,3.80966666666667,4.83952380952381,3.104,3.55183908045977,5.07688888888889,3.16385542168675,4.37488888888889,4.25651685393258,3.50915662650602,4.05415730337079,3.3961797752809,3.31088888888889,3.20829268292683,4.12154761904762,2.412,2.43436781609195,3.02911111111111,3.63611111111111,2.55666666666667,4.13321428571429,2.88877777777778,3.26602409638554,2.80215909090909,3.1785393258427,3.41188888888889,3.31222222222222,3.32944444444444,3.63224719101124,3.10851851851852,2.92493333333333,4.15047619047619,3.04294117647059,2.74688888888889,3.76744444444444,5.60855555555556,5.60012048192771,5.71144444444444,5.52811111111111,2.67901960784314,3.44941176470588,5.01511904761905,3.194375,4.21277777777778,4.78322222222222,2.98235294117647,3.75525423728814,3.00555555555556,3.26357142857143,3.09982456140351,2.85639344262295,3.83640449438202,4.09211111111111,5.4085393258427,6.94622222222222,6.86144444444444,7.02244444444444,4.23438202247191,7.38255555555556,6.05488888888889,6.48911111111111,8.87904761904762,8.80505617977528,6.84481012658228
4.07516853932584,3.06688888888889,4.6421686746988,4.50966666666667,4.47426829268293,4.63730337078652,3.63,5.45269662921348,3.96642857142857,4.03449438202247,3.19581081081081,2.67535714285714,3.06811111111111,4.29522222222222,3.08433333333333,5.61654761904762,3.8225,3.57736111111111,3.78359550561798,3.78855555555556,3.17359550561798,4.59932584269663,4.19214285714286,3.23433333333333,4.7578313253012,3.16933333333333,3.63977011494253,6.06865168539326,4.25022471910112,3.92123595505618,4.95733333333333,5.54405063291139,5.22344262295082,5.39880952380952,3.87818181818182,6.18711111111111,4.55944444444444,6.40477777777778,6.83916666666667,7.19133333333333,6.21588888888889,6.72449438202247,6.82244444444444,6.14717948717949,3.94921348314607,4.32622222222222,3.16077777777778,4.85811111111111,4.53388888888889,4.43233333333333,4.23674157303371,7.35611111111111,6.55647887323944,3.50275862068966,4.10585365853659,4.91444444444444,5.12111111111111,5.24066666666667,7.27222222222222,5.0938202247191,7.895,6.39911111111111,5.60666666666667,6.39369047619048,5.576,4.75428571428571
6.54355555555555,4.55303370786517,4.64619047619048,4.31944444444444,5.72690476190476,6.24911111111111,6.52877777777778,5.09111111111111,5.84361445783133,6.34011111111111,6.22407407407407,6.11626506024096,5.31688888888889,4.75157303370787,4.31355555555556,4.29313253012048,3.0302380952381,3.966,2.97852272727273,3.20631578947368,3.798,5.46533333333333,5.47892857142857,5.54255555555556,5.38047619047619,4.63488888888889,6.08438202247191,5.70258426966292,4.3438202247191,4.5938202247191,5.30943820224719,4.2562962962963,3.75177777777778,6.56380952380952,6.22392857142857,6.22255555555556,6.47588888888889,5.85166666666667,7.63674698795181,7.45,6.74511111111111,5.12811111111111,5.43466666666667,6.09655172413793,3.46022222222222,5.43877777777778,4.83722222222222,2.74714285714286,4.14033707865169,5.33911111111111,6.55011111111111,8.95966666666667,6.23132530120482,7.23011111111111,7.39066666666667,5.76811111111111,6.20888888888889,4.72144444444444,6.336,6.17622222222222,8.02588888888889,7.93566666666667,8.70136363636364,7.00219512195122,7.44364864864865,7.31733333333333
8.74786516853933,7.06188888888889,5.63214285714286,6.25677777777778,5.78493975903614,5.80877777777778,5.79438202247191,6.90644444444445,4.61084337349398,7.17833333333333,4.89733333333333,4.74869047619048,4.85674157303371,3.00688888888889,2.86809523809524,3.33890243902439,3.7633734939759,7.3152808988764,3.26213483146067,4.11288888888889,3.603,5.28844444444444,4.50952380952381,3.61438202247191,3.78880952380952,4.03588888888889,4.15966666666667,5.004,3.43244444444444,3.88866666666667,4.70566666666667,4.10444444444444,3.89111111111111,6.45845238095238,5.70559523809524,7.66188888888889,5.04566666666667,5.78277777777778,2.76421686746988,3.18977777777778,8.09977777777778,4.70266666666667,3.98522222222222,6.25838709677419,6.03688888888889,5.22655555555556,3.28588888888889,4.29842696629214,4.03761363636364,3.86133333333333,3.07366666666667,6.40733333333333,6.31654761904762,8.34822222222222,7.84388888888889,7.02166666666667,6.4108988764045,5.49909090909091,7.81322222222222,8.60188888888889,7.72388888888889,9.25466666666667,8.32022222222222,8.73142857142857,6.13730337078652,5.55311111111111
8.11573033707865,5.70655555555556,4.86686746987952,3.87213483146067,6.79035714285714,7.10944444444444,5.95831460674157,5.66202247191011,6.11690476190476,6.90460674157303,6.88255555555556,7.00855421686747,6.35244444444445,5.63944444444444,5.55655555555556,4.355,7.51535714285714,2.43291139240506,5.96433333333333,5.68777777777778,4.68144444444444,6.50288888888889,5.73392857142857,5.90411111111111,6.2797619047619,6.79822222222222,6.10622222222222,6.74685393258427,5.16922222222222,5.22566666666667,6.67244444444444,5.648875,5.50337078651685,8.01048192771084,7.14464285714286,9.18644444444444,7.08788888888889,3.52344444444444,3.36261904761905,3.84966666666667,4.42133333333333,5.64511111111111,6.11655555555556,4.7452380952381,5.20977777777778,3.32780821917808,4.66310344827586,3.45511111111111,3.1075,4.15793650793651,3.20277777777778,6.42411111111111,5.94202380952381,6.78415730337079,6.97255555555556,6.91191011235955,7.55411111111111,6.31944444444444,6.043,6.56588888888889,10.0095555555556,10.0594444444444,10.1204494382022,8.30614457831325,7.59944444444444,6.47344444444444
7.63244444444444,7.10977528089888,6.0466265060241,6.20588888888889,6.43535714285714,5.29786516853933,7.69595505617978,8.92322222222222,6.65939759036145,9.21887640449438,7.94088888888889,7.52265060240964,7.916,7.97303370786517,6.14577777777778,6.64722891566265,4.38261904761905,2.26909090909091,4.42109589041096,3.91688888888889,3.02134831460674,5.52594594594595,8.76821428571428,6.76808988764045,6.86107142857143,6.22516853932584,6.21255555555556,9.83,5.099,7.92722222222222,7.62777777777778,8.72820224719101,8.47411111111111,6.55321428571429,8.15132530120482,5.17377777777778,7.06866666666667,5.53864864864865,6.91059523809524,6.67155555555556,3.86322222222222,4.67388888888889,5.04632183908046,3.3927380952381,3.47168539325843,3.7537037037037,2.85977777777778,5.39088888888889,5.62622222222222,2.488,3.97197802197802,4.94311111111111,5.00369047619048,7.48477777777778,6.8276404494382,8.05808988764045,7.43077777777778,6.33177777777778,8.28911111111111,6.63977777777778,9.934,9.78777777777778,9.28288888888889,8.80059523809524,8.57655555555556,8.14666666666667
5.31344444444444,2.94066666666667,3.32285714285714,4.4476404494382,4.79238095238095,5.84459770114943,7.13157894736842,5.85460674157303,6.53807228915663,6.06024390243902,5.84744444444444,5.68547619047619,5.23788888888889,5.11077777777778,4.84797752808989,3.45488095238095,2.51924242424242,3.73258426966292,3.30933333333333,3.05224719101124,3.73644444444444,5.03855555555556,4.87869047619048,5.12611111111111,3.77602409638554,3.27820224719101,4.27820224719101,5.70111111111111,3.10255555555556,5.14955555555556,4.39577777777778,5.86395061728395,5.72433333333333,7.01481927710843,7.51294117647059,4.62677777777778,6.28988888888889,4.19255555555556,6.68464285714286,4.43422222222222,4.79460674157303,2.96966666666667,3.23688888888889,4.78107142857143,5.735625,3.2158024691358,3.01422222222222,5.22344444444444,5.06608108108108,5.46922222222222,6.71522222222222,3.63777777777778,4.7925,6.35833333333333,6.12876404494382,5.41611111111111,5.18833333333333,4.21966666666667,6.79611111111111,5.623,6.57888888888889,6.77011111111111,7.00855555555556,8.07607142857143,6.32305084745763,8.27755555555555
